region,Population,area
Central East,99982,50000
Central West,37696,50000
Far North Central,2662,50000
Far North East,24195,50000
Far North West,29866,50000
North Central,89804,50000
North East,42260,50000
North West,84130,50000
Regina,273287,50000
Saskatoon,334757,50000
South Central,61833,50000
South East,91100,50000
South West,39541,50000
