region,Population,area
Fraser,1889225,15762.26228
Vancouver Coastal,1225195,55091.0569
Vancouver Island,843375,55953.73019
Interior,795116,215413.4461
Northern,297570,605576.0164
BC Total,5050481,947796.5119
